Company Name,Geography,Geography Code,Sector,CA100 Focus Company,Large/Medium Classification,ISINs,SEDOL,MQ Publication Date,MQ Assessment Date,Level,Performance Compared to Previous Year,Q1L0|Does the company acknowledge climate change as a significant issue for the business?,Q2L1|Does the company recognise climate change as a relevant risk and/or opportunity for the business?,Q3L1|Does the company have a policy (or equivalent) commitment to action on climate change?,Q4L2|Has the company set greenhouse gas emission reduction targets?,Q5L2|Has the company published information on its Scope 1 and 2 greenhouse gas emissions?,Q6L3|Has the company nominated a board member or board committee with explicit responsibility for oversight of the climate change policy?,Q7L3|Has the company set quantitative targets for reducing its greenhouse gas emissions?,Q8L3|Does the company report on Scope 3 emissions?,Q9L3|Has the company had its operational (Scope 1 and/or 2) greenhouse gas emissions data verified?,Q10L3|Does the company support domestic and international efforts to mitigate climate change?,Q11L3|Does the company have a process to manage climate-related risks?,Q12L3|Does the company disclose Scope 3 use of product emissions?,Q13L4|Does the company disclose its membership and involvement in organisations or coalitions dedicated specifically to climate issues?,Q14L4|Has the company set long-term quantitative targets for reducing its greenhouse gas emissions?,Q15L4|Does the company's remuneration for senior executives incorporate climate change performance?,Q16L4|Does the company incorporate climate change risks and opportunities in their strategy?,Q17L4|Does the company undertake climate scenario planning?,Q18L4|Does the company disclose an internal price of carbon?,Q19L4|Does the company ensure consistency between its climate change policy and the positions taken by trade associations of which it is a member?,CP Publication Date,CP Assessment Date,Benchmark ID,Carbon Performance Alignment,Carbon Performance Alignment Year,Previous Carbon Performance Alignment,Previous Carbon Performance Alignment Year,History to Projection Cutoff Year,CP Unit,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Assumptions
Consol Energy,United States of America,USA,Coal Mining,No,small,US20854L1089,BF4L070,01/11/2021,31/03/2021,1,unchanged,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coronado Global Resources,Australia,AUS,Coal Mining,No,small,AU0000026122,BGV71W0,01/11/2021,31/03/2021,2,unchanged,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Covestro,Germany,DEU,Chemicals,No,medium,DE0006062144,BYTBWY9,01/11/2021,31/03/2021,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Not applicable,No,Yes,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croda International,United Kingdom,GBR,Chemicals,No,medium,GB00BJFFLV09,BJFFLV0,01/11/2021,31/03/2021,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not applicable,No,Yes,Yes,Yes,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cummins,United States of America,USA,Other Industrials,Yes,large,US2310211063,2240202,01/11/2021,31/03/2021,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DMCI,Philippines,PHL,Coal Mining,No,medium,PHY2088F1004,6272483,01/11/2021,31/03/2021,1,unchanged,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS Smith,United Kingdom,GBR,Paper,No,medium,GB0008220112,822011,01/11/2021,31/03/2021,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,No,Yes,No,Yes,No,No,No,01/02/2021,23/12/2020,Paper_01/02/2021,Paris Pledges,2015,Below 2 Degrees,2015,2019,"Carbon intensity (tonnes of CO2 per tonne of pulp, paper and paperboard)",,,0.204,0.191,0.202,0.203,0.206,0.201,0.195,0.189,0.183,0.177,0.172,0.166,0.16,0.154,0.149,0.143,,,,,,,,,,,,,,,,,,,,,The company discloses an emissions intensity using an activity measure that is inconsistent with TPI’s methodology for this sector. The carbon intensity has been recalculated according to TPI methodology. TPI has not made any further assumptions in order to project this company’s Carbon Performance.
DTE Energy,United States of America,USA,Electricity Utilities,No,medium,US2333311072,2280220,01/11/2021,31/03/2021,4,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,No,Yes,Yes,Yes,Yes,Yes,No,01/11/2021,05/08/2021,Electricity Utilities_01/11/2021,Below 2 Degrees,2050,Below 2 Degrees,2050,2019,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),,,,0.695,0.682,0.729,0.686,0.69934992,0.71269984,0.726049761,0.739399681,0.709804931,0.680210182,0.650615432,0.621020683,0.591425933,0.561831184,0.532236434,0.499236268,0.466236102,0.433235936,0.400235769,0.367235603,0.334235437,0.301235271,0.268235104,0.235234938,0.202234772,0.182011295,0.161787818,0.14156434,0.121340863,0.101117386,0.080893909,0.060670432,0.040446954,0.020223477,0.0,"The company has set targets to reduce its absolute emissions. To calculate this company’s targeted emissions intensities, TPI assumes that the company’s electricity generation grows according to the national or regional electricity generation growth rate projected in the IEA’s 2020 World Energy Outlook’s Stated Policies Scenario (STEPS)."
Daido Steel,Japan,JPN,Steel,No,medium,JP3491000000,6250627,01/11/2021,31/03/2021,1,unchanged,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Not applicable,No,No,No,No,No,No,No,01/02/2021,23/12/2020,Steel_01/02/2021,Paris Pledges,2014,,,2019,Carbon intensity (tonnes of CO2 per tonne of steel),0.722,0.667,0.661,0.64,0.625,0.612,0.687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The company has not disclosed quantitative targets to reduce its emissions, which TPI can use to estimate future carbon performance."
Daikin Industries,Japan,JPN,Other Industrials,Yes,large,JP3481800005,6250724,01/11/2021,31/03/2021,4,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daimler,Germany,DEU,Autos,Yes,large,DE0007100000,5529027,01/11/2021,31/03/2021,4,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,01/12/2020,23/10/2020,Autos_01/12/2020,2 Degrees (High Efficiency),2037,2 Degrees (Shift-Improve),2024,2018,Average new vehicle emissions (grams of CO2 per kilometre [NEDC]),166.0,159.0,150.0,148.0,148.0,154.0,148.0,143.0,138.0,132.0,127.0,121.0,116.0,111.0,105.0,100.0,95.0,89.0,79.0,69.0,59.0,50.0,40.0,30.0,20.0,10.0,0.0,,,,,,,,,,,,The company discloses a 2030 emissions intensity target using a Well-to-Wheel emissions figure that is inconsistent with TPI’s methodology for this sector. The target has been recalculated in Tank-to-Wheel emissions intensity according to TPI methodology.
Daio Paper,Japan,JPN,Paper,No,small,JP3440400004,6870898,01/11/2021,31/03/2021,1,unchanged,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,Not applicable,No,No,No,No,No,No,No,01/02/2021,23/12/2020,Paper_01/02/2021,Not Aligned,,Not Aligned,,2019,"Carbon intensity (tonnes of CO2 per tonne of pulp, paper and paperboard)",1.054,1.06,1.08,1.05,1.05,1.04,1.09,1.062,1.034,1.005,0.977,0.949,0.921,0.893,0.865,0.836,0.808,0.78,,,,,,,,,,,,,,,,,,,,,"The company’s disclosure was not clear about whether the emissions figures used for this assessment include Scope 2 emissions. Based on further research, TPI concluded that Scope 2 emissions are likely included in the company’s reported emissions figures."
Dalmia Bharat,India,IND,Cement,No,medium,INE00R701025,BFN2YR2,01/11/2021,31/03/2021,1,unchanged,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,Not applicable,No,No,No,No,No,No,No,01/02/2021,23/12/2020,Cement_01/02/2021,Below 2 Degrees,2030,,,2019,Carbon intensity (tonnes of CO2 per tonne of cementitious product),0.67,0.53,0.493,0.526,0.537,0.546,0.536,0.523,0.51,0.497,0.483,0.47,0.457,0.44,0.423,0.407,0.39,0.373,0.346,0.32,0.293,0.267,0.24,0.186,0.132,0.078,0.024,-0.03,,,,,,,,,,,The company discloses an emissions intensity and target using an emissions figure that is inconsistent with TPI’s methodology for this sector. The carbon intensity has been recalculated according to TPI methodology. TPI has not made any further assumptions in order to project this company’s Carbon Performance.
Dangote Cement,Nigeria,NGA,Cement,Yes,large,NGDANGCEM008,B4TFNR1,01/11/2021,31/03/2021,2,unchanged,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Not applicable,No,No,No,No,No,No,No,01/02/2021,23/12/2020,Cement_01/02/2021,Not Aligned,,Not Aligned,,2019,Carbon intensity (tonnes of CO2 per tonne of cementitious product),,,,,,0.668,0.611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TPI has not made any further assumptions in order to project this company’s Carbon Performance.
Danone,France,FRA,Consumer Goods,Yes,large,FR0000120644,B1Y9TB3,01/11/2021,31/03/2021,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,No,Yes,Yes,Yes,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delta Air Lines,United States of America,USA,Airlines,Yes,large,US2473617023,B1W9D46,01/11/2021,31/03/2021,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,No,Yes,Yes,Yes,No,Yes,No,01/12/2020,23/10/2020,Airlines_01/12/2020,Not Aligned,,Not Aligned,,2019,Carbon intensity (gCO2 / RTK),,1113.0,1114.0,1118.0,1091.0,1077.0,1057.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The company discloses an emissions intensity using an activity measure and/or emissions figure that is inconsistent with TPI’s methodology for this sector. The carbon intensity has been recalculated according to TPI methodology. The company has set targets to reduce its emissions intensity, but they could not be included in this assessment as it was not possible to make them consistent with TPI’s methodology."
Denka,Japan,JPN,Cement,No,medium,JP3549600009,6309820,01/11/2021,31/03/2021,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not applicable,No,Yes,Yes,Yes,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Devon Energy,United States of America,USA,Oil & Gas,Yes,medium,US25179M1036,2480677,01/11/2021,31/03/2021,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,01/11/2021,05/08/2021,Oil & Gas_01/11/2021,Not Aligned,,Not Aligned,,2019,Emissions intensity (gCO2e / MJ),,68.17885152,71.17762567,70.80959487,72.12672542,72.74134988,69.91756795,69.72686368,69.53615941,69.34545514,69.15475086,68.96404659,68.77334232,68.58263805,68.39193378,68.2012295,68.01052523,67.81982096,67.71008821,67.60035546,67.4906227,67.38088995,67.2711572,67.16142445,67.05169169,66.94195894,66.83222619,66.72249344,66.61276068,66.50302793,66.39329518,66.28356243,66.17382967,66.06409692,65.95436417,65.84463142,65.73489866,65.62516591,"The company has not disclosed an emissions intensity that TPI can use to assess current and/or future Carbon Performance. The carbon intensity has been (re-)calculated according to TPI methodology. The company's target covers a subset of Scope 1, 2 and 3 (use of sold products) emissions. The emissions intensities of all emissions not covered by the target are assumed to remain constant from the level of the latest disclosure."
Diamondback Energy,United States of America,USA,Oil & Gas,No,medium,US25278X1090,B7Y8YR3,01/11/2021,31/03/2021,2,unchanged,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,01/11/2021,05/08/2021,Oil & Gas_01/11/2021,Not Aligned,,Not Aligned,,2020,Emissions intensity (gCO2e / MJ),,,73.31741057,72.56510504,73.24752936,72.59730461,71.9907713,70.34032121,70.15252731,69.96473341,69.77693951,69.58914561,,,,,,,,,,,,,,,,,,,,,,,,,,,"The company has not disclosed an emissions intensity that TPI can use to assess current and/or future Carbon Performance. The carbon intensity has been (re-)calculated according to TPI methodology. The company's target covers a subset of Scope 1, 2 and 3 (use of sold products) emissions. The emissions intensities of all emissions not covered by the target are assumed to remain constant from the level of the latest disclosure."
Dominion Energy,United States of America,USA,Electricity Utilities,Yes,large,US25746U1097,2542049,01/11/2021,31/03/2021,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,Yes,Yes,Yes,No,01/11/2021,05/08/2021,Electricity Utilities_01/11/2021,Below 2 Degrees,2050,Below 2 Degrees,2050,2019,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),,,,,0.331,0.312,0.269,0.264350888,0.259701775,0.255052663,0.25040355,0.245754438,0.241105326,0.236456213,0.231807101,0.227157988,0.222508876,0.217859763,0.206966775,0.196073787,0.185180799,0.174287811,0.163394823,0.152501834,0.141608846,0.130715858,0.11982287,0.108929882,0.098036894,0.087143905,0.076250917,0.065357929,0.054464941,0.043571953,0.032678965,0.021785976,0.010892988,0.0,"The company has set targets to reduce its absolute emissions. To calculate this company’s targeted emissions intensity, TPI assumes that the company’s electricity generation grows according to the national or regional electricity generation growth rate projected in the IEA’s 2020 World Energy Outlook’s Stated Policies Scenario (STEPS)."
Domtar,United States of America,USA,Paper,No,small,US2575592033,B1T84Z4,01/11/2021,31/03/2021,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,No,Yes,No,No,No,Yes,No,01/02/2021,23/12/2020,Paper_01/02/2021,Not Aligned,,Paris Pledges,2014,2019,"Carbon intensity (tonnes of CO2 per tonne of pulp, paper and paperboard)",,,,,0.715,0.731,0.733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The company discloses an emissions intensity using an activity measure and emissions figure that is inconsistent with TPI’s methodology for this sector. The carbon intensity has been recalculated according to TPI methodology.
Dow,United States of America,USA,Chemicals,Yes,large,US2605571031,BHXCF84,01/11/2021,31/03/2021,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Not applicable,No,Yes,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DuPont de Nemours,United States of America,USA,Chemicals,No,large,US26614N1028,BK0VN47,01/11/2021,31/03/2021,4,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,No,Yes,No,Yes,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duke Energy,United States of America,USA,Electricity Utilities,Yes,large,US26441C2044,B7VD3F2,01/11/2021,31/03/2021,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Not applicable,No,Yes,Yes,Yes,Yes,Yes,No,01/11/2021,05/08/2021,Electricity Utilities_01/11/2021,Below 2 Degrees,2050,Below 2 Degrees,2050,2020,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),0.476276876,0.476276876,0.453597024,0.439989114,0.435453143,0.426381203,0.390093441,0.353805679,0.350567036,0.347328393,0.344089749,0.340851106,0.337612463,0.33437382,0.331135176,0.327896533,0.32465789,0.321419247,0.305348284,0.289277322,0.27320636,0.257135397,0.241064435,0.224993473,0.20892251,0.192851548,0.176780586,0.160709623,0.144638661,0.128567699,0.112496736,0.096425774,0.080354812,0.064283849,0.048212887,0.032141925,0.016070962,0.0,"The company has set targets to reduce its absolute emissions. To calculate this company’s targeted emissions intensity, TPI assumes that the company’s electricity generation grows according to the national or regional electricity generation growth rate projected in the IEA’s 2020 World Energy Outlook’s Stated Policies Scenario (STEPS)."
E.ON,Germany,DEU,Electricity Utilities,Yes,large,DE000ENAG999,"4942904, 4943190",01/11/2021,31/03/2021,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,No,Yes,Yes,Yes,Yes,Yes,No,01/11/2021,05/08/2021,Electricity Utilities_01/11/2021,1.5 Degrees,2013,Below 2 Degrees,2013,2020,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),0.450826121,0.445167286,0.408969549,0.045454545,0.05075,0.05664488,0.047073171,0.064084507,0.060880282,0.057676056,0.054471831,0.051267606,0.04806338,0.044859155,0.04165493,0.038450704,0.035246479,0.032042254,0.028838028,0.025633803,0.022429577,0.019225352,0.016021127,0.012816901,0.009612676,0.006408451,0.003204225,0.0,,,,,,,,,,,TPI has not made any further assumptions in order to project this company’s Carbon Performance.
EDF,France,FRA,Electricity Utilities,Yes,large,FR0010242511,B0NJJ17,01/11/2021,31/03/2021,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,No,Yes,Yes,Yes,Yes,Yes,Yes,01/11/2021,05/08/2021,Electricity Utilities_01/11/2021,Below 2 Degrees,2013,Paris Pledges,2013,2020,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),0.123,0.102,0.095,0.077,0.082,0.057,0.055,0.051,0.059643409,0.068286819,0.076930228,0.072858138,0.068786049,0.064713959,0.060641869,0.056569779,0.052497689,0.0484256,0.04600432,0.04358304,0.04116176,0.03874048,0.0363192,0.03389792,0.03147664,0.02905536,0.02663408,0.0242128,0.02179152,0.01937024,0.01694896,0.01452768,0.0121064,0.00968512,0.00726384,0.00484256,0.00242128,0.0,"The company has set targets to reduce its absolute emissions. To calculate this company’s targeted emissions intensities, TPI assumes that the company’s electricity generation grows according to the national or regional electricity generation growth rate projected in the IEA’s 2020 World Energy Outlook’s Stated Policies Scenario (STEPS)."
EDP,Portugal,PRT,Electricity Utilities,No,large,PTEDP0AM0009,4103596,01/11/2021,31/03/2021,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,No,Yes,Yes,Yes,Yes,Yes,No,01/11/2021,05/08/2021,Electricity Utilities_01/11/2021,1.5 Degrees,2013,Below 2 Degrees,2050,2020,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),0.276,0.276,0.34,0.271,0.3336,0.25733,0.216862194,0.146222341,0.131600107,0.116977873,0.102355639,0.087733405,0.07311117,0.058488936,0.043866702,0.029244468,0.014622234,0.0,,,,,,,,,,,,,,,,,,,,,TPI has not made any further assumptions in order to project this company’s Carbon Performance.
ENN Ecological Holdings,China,CHN,Coal Mining,No,unlisted,CNE000000DG7,"6445467, BYYFJJ0",01/11/2021,31/03/2021,1,new,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EOG Resources,United States of America,USA,Oil & Gas,No,large,US26875P1012,2318024,01/11/2021,31/03/2021,2,unchanged,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,No,01/11/2021,05/08/2021,Oil & Gas_01/11/2021,Not Aligned,,Not Aligned,,2019,Emissions intensity (gCO2e / MJ),,71.35822885,70.3298651,70.37006323,70.53882379,70.96535255,70.44074788,70.37152038,70.30229287,70.23306537,70.16383787,70.09461036,70.02538286,69.7973914,69.56939994,69.34140848,69.11341701,68.88542555,68.65743409,68.42944263,68.20145117,67.97345971,67.74546825,67.51747679,67.28948533,67.06149387,66.8335024,66.60551094,,,,,,,,,,,"The company has not disclosed an emissions intensity that TPI can use to assess current and/or future Carbon Performance. The carbon intensity has been (re-)calculated according to TPI methodology. The company's target covers a subset of Scope 1, 2 and 3 (use of sold products) emissions. The emissions intensities of all emissions not covered by the target are assumed to remain constant from the level of the latest disclosure."
Eagle Materials,United States of America,USA,Cement,No,small,US26969P1084,2191399,01/11/2021,31/03/2021,1,unchanged,Yes,Yes,No,No,No,No,No,No,No,No,No,Not applicable,No,No,No,No,No,No,No,01/02/2021,23/12/2020,Cement_01/02/2021,No or unsuitable disclosure,,No or unsuitable disclosure,,,Carbon intensity (tonnes of CO2 per tonne of cementitious product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The company has not disclosed sufficient current emissions data nor any quantitative targets to reduce its emissions, which TPI can use to estimate future carbon performance."
Eastman Chemical,United States of America,USA,Chemicals,No,medium,US2774321002,2298386,01/11/2021,31/03/2021,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Not applicable,No,Yes,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Easyjet,United Kingdom,GBR,Airlines,No,medium,GB00B7KR2P84,B7KR2P8,01/11/2021,31/03/2021,3,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not applicable,No,No,Yes,No,No,No,No,01/12/2020,23/10/2020,Airlines_01/12/2020,Not Aligned,,International Pledges,2014,2019,Carbon intensity (gCO2 / RTK),,863.0,853.0,841.0,828.0,826.0,811.0,793.0,775.0,757.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The company discloses an emissions intensity and target using an activity measure and/or emissions figure that is inconsistent with TPI’s methodology for this sector. The carbon intensity has been recalculated according to TPI methodology.
Ecolab,United States of America,USA,Chemicals,No,large,US2788651006,2304227,01/11/2021,31/03/2021,4,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,No,Yes,Yes,Yes,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecopetrol,Colombia,COL,Oil & Gas,Yes,large,COC04PA00016,B2473N4,01/11/2021,31/03/2021,3,unchanged,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,01/11/2021,05/08/2021,Oil & Gas_01/11/2021,National Pledges,2041,Not Aligned,,2020,Emissions intensity (gCO2e / MJ),,75.39376347,75.73802037,76.6637923,78.01072684,78.26080632,78.02716751,77.77418394,77.5619635,77.34974306,77.13752263,76.92530219,76.71308175,76.50086132,76.28864088,76.07642044,75.86420001,75.65197957,73.36272971,71.07347984,68.78422998,66.49498012,64.20573025,61.91648039,59.62723053,57.33798066,55.0487308,52.75948094,50.47023107,48.18098121,45.89173135,43.60248148,41.31323162,39.02398176,36.73473189,34.44548203,32.15623217,29.8669823,"The company has not disclosed an emissions intensity that TPI can use to assess current and/or future Carbon Performance. The carbon intensity has been (re-)calculated according to TPI methodology. The company has set targets to reduce its absolute emissions. To calculate this company’s targeted emissions intensity, TPI has assumed that: The company’s externally sold energy products grow according to the regional or global primary energy supply growth rate projected in the IEA’s Energy Technology Perspectives model ‘Reference Technology’ scenario. The company’s 2030 target covers a subset of Scope 1, 2 and 3 (use of sold products) emissions. The emissions intensities of all emissions not covered by the target are assumed to remain constant from the level of the latest disclosure."
Edison International,United States of America,USA,Electricity Utilities,No,medium,US2810201077,2829515,01/11/2021,31/03/2021,2,unchanged,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Not applicable,No,No,No,No,No,No,No,01/11/2021,05/08/2021,Electricity Utilities_01/11/2021,Below 2 Degrees,2013,Below 2 Degrees,2013,2020,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),0.352441691,0.175994049,0.194591358,0.146056917,0.113398227,0.084368281,0.102058405,0.122923678,0.118006731,0.113089784,0.108172837,0.10325589,0.098338943,0.093421996,0.088505048,0.083588101,0.078671154,0.073754207,0.06883726,0.063920313,0.059003366,0.054086419,0.049169471,0.044252524,0.039335577,0.03441863,0.029501683,0.024584736,0.019667789,0.014750841,0.009833894,0.004916947,0.0,,,,,,TPI has not made any further assumptions in order to project this company’s Carbon Performance.
Electric Power Development,Japan,JPN,Electricity Utilities,No,large,JP3551200003,B02Q328,01/11/2021,31/03/2021,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,No,Yes,No,No,Yes,No,No,01/11/2021,05/08/2021,Electricity Utilities_01/11/2021,Not Aligned,,Not Aligned,,2019,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),,,0.666,0.667,0.641,0.649,0.619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The company discloses 2030 and 2050 targets, but as these are regional targets that do not apply to the company’s entire operations, they are not accepted in TPI’s methodology."
Elia Group,Belgium,BEL,Electricity Utilities,No,medium,BE0003822393,B09M9F4,01/11/2021,31/03/2021,3,new,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Not applicable,No,Yes,No,Yes,No,No,No,01/11/2021,05/08/2021,Electricity Utilities_01/11/2021,No or unsuitable disclosure,,,,,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The company has not disclosed sufficient data on current emissions, or any quantitative targets to reduce its emissions, which TPI can use to estimate current or future Carbon Performance."
Emera,Canada,CAN,Electricity Utilities,No,small,CA2908761018,2650050,01/11/2021,31/03/2021,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,No,Yes,Yes,No,No,No,No,01/11/2021,05/08/2021,Electricity Utilities_01/11/2021,Below 2 Degrees,2050,Not Aligned,,2020,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),0.728501049,0.611021563,0.685187265,0.667267144,0.586833182,0.555496988,0.549188403,0.553231574,0.521407361,0.489583147,0.457758934,0.425934721,0.394110507,0.378432397,0.362754286,0.347076175,0.331398065,0.315719954,0.300041844,0.284363733,0.268685622,0.253007512,0.237329401,0.22165129,0.20597318,0.190295069,0.174616958,0.158938848,0.143044963,0.127151078,0.111257193,0.095363309,0.079469424,0.063575539,0.047681654,0.03178777,0.015893885,0.0,"The company has set 2025 and 2040 targets to reduce its absolute emissions. To calculate this company’s targeted emissions intensity, TPI assumes that the company’s electricity generation grows according to the national or regional electricity generation growth rate projected in the IEA’s 2020 World Energy Outlook’s Stated Policies Scenario (STEPS)."
Empresas COPEC,Chile,CHL,Coal Mining,No,large,CLP7847L1080,2196026,01/11/2021,31/03/2021,3,new,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enbridge,Canada,CAN,Oil & Gas Distribution,Yes,large,CA29250N1050,"2466149, 2478906",01/11/2021,31/03/2021,4,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
