Company Name,Geography,Geography Code,Sector,CA100 Focus Company,Large/Medium Classification,ISINs,SEDOL,Publication Date,Assessment Date,Carbon Performance Alignment,History to Projection cutoff year,CP Unit,Assumptions,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ConocoPhillips,United States of America,USA,Oil & Gas,Yes,large,US20825C1045,2685717,01/09/2019,12/07/2019,Not Aligned,2018,Emissions intensity (gCO2e / MJ),"The company has not disclosed an emissions intensity that TPI can use to assess current and/or future Carbon Performance. The carbon intensity has been (re-)calculated according to TPI methodology. The company has set targets to reduce its absolute emissions. To calculate this company’s targeted emissions intensity, TPI has assumed that: The company’s externally sold energy products grow according to the regional or global primary energy supply growth rate projected in the IEA’s Energy Technology Perspectives model ‘Reference Technology’ scenario. The company’s target covers a subset of Scope 1, 2 and 3 (use of sold products) emissions. The emissions intensities of all emissions not covered by the target are assumed to remain constant from the level of the latest disclosure.",,70.505,71.729,72.981,71.889,71.908,71.972,72.037,72.102,72.166,72.231,72.296,72.36,72.425,72.49,72.554,72.619,72.684,,,,,,,,,,,,,,,,,,,,
DS Smith,United Kingdom,GBR,Paper,No,medium,GB0008220112,822011,01/02/2021,23/12/2020,Paris Pledges,2019,"Carbon intensity (tonnes of CO2 per tonne of pulp, paper and paperboard)",The company discloses an emissions intensity using an activity measure that is inconsistent with TPI’s methodology for this sector. The carbon intensity has been recalculated according to TPI methodology. TPI has not made any further assumptions in order to project this company’s Carbon Performance.,,,0.204,0.191,0.202,0.203,0.206,0.201,0.195,0.189,0.183,0.177,0.172,0.166,0.16,0.154,0.149,0.143,,,,,,,,,,,,,,,,,,,,
DS Smith,United Kingdom,GBR,Paper,No,medium,GB0008220112,822011,01/02/2020,20/12/2019,Below 2 Degrees,2018,"Carbon intensity (tonnes of CO2 per tonne of pulp, paper and paperboard)",The company discloses an emissions intensity and target using an activity measure and/or emissions figure that is inconsistent with TPIís methodology for this sector. The carbon intensity has been recalculated according to TPI methodology.,,,0.203932999,0.191248172,0.202015237,0.199503132,0.194773963,0.190044794,0.185315624,0.180586455,0.175857285,0.171128116,0.166398947,0.161669777,0.156940608,0.152211438,0.147482269,0.1427531,,,,,,,,,,,,,,,,,,,,
DTE Energy,United States of America,USA,Electricity Utilities,No,medium,US2333311072,2280220,01/10/2020,12/08/2020,Below 2 Degrees,2019,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"The company has set targets to reduce its absolute emissions. To calculate this company’s targeted emissions intensity, TPI has assumed that: - The company’s regional electricity generation grows according to the regional electricity generation growth rate projected in the IEA’s Energy Technology Perspectives model ‘Reference Technology’ scenario.",,,,0.695,0.682,0.729,0.686,0.671,0.655,0.64,0.624,0.599,0.573,0.548,0.522,0.496,0.471,0.445,0.417,0.389,0.361,0.333,0.305,0.277,0.249,0.221,0.193,0.165,0.149,0.132,0.116,0.099,0.083,0.066,0.05,0.033,0.017,
DTE Energy,United States of America,USA,Electricity Utilities,No,medium,US2333311072,2280220,01/09/2019,02/08/2019,Not Aligned,2017,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"The company has set targets to reduce its absolute emissions. To calculate this company’s targeted emissions intensity, TPI has assumed that: - The company’s regional electricity generation grows according to the regional electricity generation growth rate projected in the IEA’s Energy Technology Perspectives model ‘Reference Technology’ scenario.",,,,0.695,0.713,0.7,0.687,0.674,0.661,0.648,0.635,0.622,0.593,0.563,0.533,0.504,0.474,0.445,,,,,,,,,,,,,,,,,,,,
DTE Energy,United States of America,USA,Electricity Utilities,No,medium,US2333311072,2280220,01/07/2018,02/07/2018,Not Aligned,2017,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"DTE Energy has set a target to reduce its absolute emissions.TPI has adjusted this target by assuming that future electricity generation grows at the same rate as the IEA's ""Gross electricity generation"" projections for the region in which the company operates using the ETP (2017) Reference Technology Scenario.",,,,0.69,0.707,0.694,0.682,0.669,0.656,0.644,0.624,0.605,0.586,0.566,0.547,0.528,0.508,0.489,,,,,,,,,,,,,,,,,,,,
DTE Energy,United States of America,USA,Electricity Utilities,No,medium,US2333311072,2280220,01/06/2017,05/05/2017,Not Aligned,2015,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),,0.79,0.78,0.78,0.775,0.769,0.764,0.758,0.753,0.732,0.711,0.689,0.668,0.647,0.626,0.605,0.584,0.563,0.541,,,,,,,,,,,,,,,,,,,,
Daido Steel,Japan,JPN,Steel,No,medium,JP3491000000,6250627,01/02/2021,23/12/2020,Paris Pledges,2019,Carbon intensity (tonnes of CO2 per tonne of steel),"The company has not disclosed quantitative targets to reduce its emissions, which TPI can use to estimate future carbon performance.",0.722,0.667,0.661,0.64,0.625,0.612,0.687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daimler,Germany,DEU,Autos,Yes,large,DE0007100000,5529027,01/12/2020,23/10/2020,2 Degrees (High Efficiency),2018,Average new vehicle emissions (grams of CO2 per kilometre [NEDC]),The company discloses a 2030 emissions intensity target using a Well-to-Wheel emissions figure that is inconsistent with TPI’s methodology for this sector. The target has been recalculated in Tank-to-Wheel emissions intensity according to TPI methodology.,166.0,159.0,150.0,148.0,148.0,154.0,148.0,143.0,138.0,132.0,127.0,121.0,116.0,111.0,105.0,100.0,95.0,89.0,79.0,69.0,59.0,50.0,40.0,30.0,20.0,10.0,0.0,,,,,,,,,,,
Daimler,Germany,DEU,Autos,Yes,large,DE0007100000,5529027,01/12/2019,07/11/2019,2 Degrees (Shift-Improve),2017,Average new vehicle emissions (grams of CO2 per kilometre [NEDC]),Daimler has set targets to reduce its emissions intensity. TPI has not made any further assumptions in order to project this company’s carbon performance.,166.160213472432,159.185846082737,149.769534659182,147.807925299719,148.265759463393,141.526406760511,134.78705405763,128.047701354748,121.308348651867,114.568995948985,107.829643246104,101.090290543222,94.3509378403407,87.6115851374593,80.8722324345778,74.1328797316963,67.3935270288148,60.6541743259333,,,,,,,,,,,,,,,,,,,,
Daimler,Germany,DEU,Autos,Yes,large,DE0007100000,5529027,01/11/2018,12/10/2018,Not Aligned,2016,Average new vehicle emissions (grams of CO2 per kilometre [NEDC]),"Daimler has set targets to reduce its emissions intensity. For this company, TPI has assumed that:
- The company’s regional sales shares develop according to forecast global car sales from the ICCT’s Roadmap model ‘Current Policies’ scenario.",166.0,159.0,153.0,149.0,145.0,145.0,135.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daimler,Germany,DEU,Autos,Yes,large,DE0007100000,5529027,01/02/2018,14/02/2018,Not Aligned,2015,Average new vehicle emissions (grams of CO2 per kilometre [NEDC]),,169.0,161.0,155.0,152.0,148.0,145.0,141.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daio Paper,Japan,JPN,Paper,No,small,JP3440400004,6870898,01/02/2021,23/12/2020,Not Aligned,2019,"Carbon intensity (tonnes of CO2 per tonne of pulp, paper and paperboard)","The company’s disclosure was not clear about whether the emissions figures used for this assessment include Scope 2 emissions. Based on further research, TPI concluded that Scope 2 emissions are likely included in the company’s reported emissions figures.",1.054,1.06,1.08,1.05,1.05,1.04,1.09,1.062,1.034,1.005,0.977,0.949,0.921,0.893,0.865,0.836,0.808,0.78,,,,,,,,,,,,,,,,,,,,
Daio Paper,Japan,JPN,Paper,No,small,JP3440400004,6870898,01/02/2020,20/12/2019,Not Aligned,2018,"Carbon intensity (tonnes of CO2 per tonne of pulp, paper and paperboard)",TPI has not made any further assumptions in order to project this companyís Carbon Performance.,1.054054054,1.06,0.99,0.94,0.87,0.83,0.825833333,0.821666667,0.8175,0.813333333,0.809166667,0.805,0.800833333,0.796666667,0.7925,0.788333333,0.784166667,0.78,,,,,,,,,,,,,,,,,,,,
Daio Paper,Japan,JPN,Paper,No,small,JP3440400004,6870898,01/11/2018,09/10/2018,No or unsuitable disclosure,,"Carbon intensity (tonnes of CO2 per tonne of pulp, paper and paperboard)","Daio Paper has not disclosed quantitative targets to reduce its emissions, which TPI can use to estimate future carbon performance.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daio Paper,Japan,JPN,Paper,No,small,JP3440400004,6870898,01/02/2018,14/02/2018,No or unsuitable disclosure,,"Carbon intensity (tonnes of CO2 per tonne of pulp, paper and paperboard)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dalmia Bharat,India,IND,Cement,No,medium,INE00R701025,B4YNQ71,01/02/2021,23/12/2020,Below 2 Degrees,2019,Carbon intensity (tonnes of CO2 per tonne of cementitious product),The company discloses an emissions intensity and target using an emissions figure that is inconsistent with TPI’s methodology for this sector. The carbon intensity has been recalculated according to TPI methodology. TPI has not made any further assumptions in order to project this company’s Carbon Performance.,0.67,0.53,0.493,0.526,0.537,0.546,0.536,0.523,0.51,0.497,0.483,0.47,0.457,0.44,0.423,0.407,0.39,0.373,0.346,0.32,0.293,0.267,0.24,0.186,0.132,0.078,0.024,-0.03,,,,,,,,,,
Dangote Cement,Nigeria,NGA,Cement,Yes,large,NGDANGCEM008,B4TFNR1,01/02/2021,23/12/2020,Not Aligned,2019,Carbon intensity (tonnes of CO2 per tonne of cementitious product),TPI has not made any further assumptions in order to project this company’s Carbon Performance.,,,,,,0.668,0.611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dangote Cement,Nigeria,NGA,Cement,Yes,large,NGDANGCEM008,B4TFNR1,01/02/2020,20/12/2019,Not Aligned,2018,Carbon intensity (tonnes of CO2 per tonne of cementitious product),TPI has not made any further assumptions in order to project this companyís Carbon Performance.,,,,,,0.668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delta Air Lines,United States of America,USA,Airlines,Yes,large,US2473617023,B1W9D46,01/12/2020,23/10/2020,Not Aligned,2019,Carbon intensity (gCO2 / RTK),"The company discloses an emissions intensity using an activity measure and/or emissions figure that is inconsistent with TPI’s methodology for this sector. The carbon intensity has been recalculated according to TPI methodology. The company has set targets to reduce its emissions intensity, but they could not be included in this assessment as it was not possible to make them consistent with TPI’s methodology.",,1113.0,1114.0,1118.0,1091.0,1077.0,1057.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delta Air Lines,United States of America,USA,Airlines,Yes,large,US2473617023,B1W9D46,01/12/2019,07/11/2019,Not Aligned,2018,Carbon intensity (gCO2 / RTK),The company discloses an emissions intensity and target using an activity measure and/or emissions figure that is inconsistent with TPI’s methodology for this sector. The carbon intensity has been recalculated according to TPI methodology. TPI assumes that the company's disclosed freight activity is expressed in metric tonnes. TPI has not made any further assumptions in order to project this company’s Carbon Performance. TPI’s intensity calculation includes emissions and passenger traffic data for Delta's regional operations.,,720.0,726.0,726.0,709.0,700.0,676.0,652.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delta Air Lines,United States of America,USA,Airlines,Yes,large,US2473617023,B1W9D46,01/02/2019,04/01/2019,Not Aligned,2017,Carbon intensity (gCO2 / RTK),The company discloses an emissions intensity and target using an activity measure and/or emissions figure that is inconsistent with TPI’s methodology for this sector. The carbon intensity has been recalculated according to TPI methodology. TPI has not made any further assumptions in order to project this company’s Carbon Performance. TPI’s intensity calculation includes emissions and passenger traffic data for Delta's regional operations.,,118.0,116.0,115.0,113.0,110.0,107.0,104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Devon Energy,United States of America,USA,Oil & Gas,Yes,medium,US25179M1036,2480677,01/10/2020,12/08/2020,Not Aligned,2018,Emissions intensity (gCO2e / MJ),"The company has not disclosed an emissions intensity that TPI can use to assess current and/or future Carbon Performance. The carbon intensity has been (re-)calculated according to TPI methodology. The company has not disclosed sufficient data on any quantitative targets to reduce its emissions, which TPI can use to estimate future Carbon Performance.",,68.18,71.18,70.81,72.13,72.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Devon Energy,United States of America,USA,Oil & Gas,Yes,medium,US25179M1036,2480677,01/09/2019,12/07/2019,Not Aligned,2017,Emissions intensity (gCO2e / MJ),"The company has not disclosed an emissions intensity that TPI can use to assess current and/or future Carbon Performance. The carbon intensity has been (re-)calculated according to TPI methodology. The company has set targets to reduce its absolute emissions. To calculate this company’s targeted emissions intensity, TPI has assumed that: The company’s externally sold energy products grow according to the regional or global primary energy supply growth rate projected in the IEA’s Energy Technology Perspectives model ‘Reference Technology’ scenario. The company’s target covers a subset of Scope 1, 2 and 3 (use of sold products) emissions. The emissions intensities of all emissions not covered by the target are assumed to remain constant from the level of the latest disclosure.",,68.079,71.109,70.798,72.073,71.997,71.921,71.845,71.77,71.694,71.618,71.542,71.466,,,,,,,,,,,,,,,,,,,,,,,,,
Diamondback Energy,United States of America,USA,Oil & Gas,No,medium,US25278X1090,B7Y8YR3,01/10/2020,12/08/2020,Not Aligned,2018,Emissions intensity (gCO2e / MJ),"",,,73.13,72.37,73.05,72.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diamondback Energy,United States of America,USA,Oil & Gas,No,medium,US25278X1090,B7Y8YR3,01/09/2019,02/08/2019,Not Aligned,2017,Emissions intensity (gCO2e / MJ),"The company has not disclosed an emissions intensity that TPI can use to assess current and/or future Carbon Performance. The carbon intensity has been (re-)calculated according to TPI methodology. The company has not disclosed sufficient data on any quantitative targets to reduce its emissions, which TPI can use to estimate future Carbon Performance.",,,73.371,72.809,73.435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominion Energy,United States of America,USA,Electricity Utilities,Yes,large,US25746U1097,2542049,01/10/2020,12/08/2020,Below 2 Degrees,2018,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),TPI has not made any further assumptions in order to project this company’s Carbon Performance.,0.36,0.359,0.348,0.343,0.296,0.274,0.271,0.268,0.265,0.262,0.259,0.257,0.254,0.251,0.248,0.245,0.242,0.239,0.227,0.215,0.203,0.191,0.179,0.167,0.155,0.143,0.131,0.12,0.108,0.096,0.084,0.072,0.06,0.048,0.036,0.024,0.012,
Dominion Energy,United States of America,USA,Electricity Utilities,Yes,large,US25746U1097,2542049,01/09/2019,12/07/2019,2 Degrees,2017,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),TPI has not made any further assumptions in order to project this company’s Carbon Performance.,0.36,0.361,0.348,0.341,0.295,0.291,0.286,0.282,0.278,0.273,0.269,0.264,0.26,0.256,0.251,0.247,0.243,0.238,,,,,,,,,,,,,,,,,,,,
Dominion Energy,United States of America,USA,Electricity Utilities,Yes,large,US25746U1097,2542049,01/07/2018,02/07/2018,Paris Pledges,2016,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),Dominion Energy has set a target to reduce its emissions intensity. TPI has not adjusted this target.,0.36,0.361,0.348,0.339,0.336,0.333,0.33,0.327,0.324,0.321,0.319,0.316,0.313,0.31,0.307,0.304,0.301,0.298,,,,,,,,,,,,,,,,,,,,
Dominion Energy,United States of America,USA,Electricity Utilities,Yes,large,US25746U1097,2542049,01/06/2017,05/05/2017,Paris Pledges,2015,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),,0.362,0.362,0.348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domtar,United States of America,USA,Paper,No,small,US2575592033,B1T84Z4,01/02/2021,23/12/2020,Not Aligned,2019,"Carbon intensity (tonnes of CO2 per tonne of pulp, paper and paperboard)",The company discloses an emissions intensity using an activity measure and emissions figure that is inconsistent with TPI’s methodology for this sector. The carbon intensity has been recalculated according to TPI methodology.,,,,,0.715,0.731,0.733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domtar,United States of America,USA,Paper,No,small,US2575592033,B1T84Z4,01/02/2020,20/12/2019,Paris Pledges,2018,"Carbon intensity (tonnes of CO2 per tonne of pulp, paper and paperboard)","The company has set targets to reduce its absolute emissions. To calculate this companyís targeted emissions intensity, TPI has assumed that: The companyís pulp, paper and paperboard production grows according to the global growth rate projected in the IEAís Energy Technology Perspectives model ëReference Technologyí scenario.",,0.481164384,0.476,0.415227027,0.404945467,0.464742268,0.460467732,0.456193196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domtar,United States of America,USA,Paper,No,small,US2575592033,B1T84Z4,01/11/2018,09/10/2018,Paris Pledges,2016,"Carbon intensity (tonnes of CO2 per tonne of pulp, paper and paperboard)","Domtar has emissions reduction targets expressed in total emissions. To calculate an emissions intensity, TPI has assumed that:
- The company’s future pulp, paper and paperboard production grows at the same rate as IEA projections.",,0.604,0.577,0.54,0.526,0.511,0.497,0.497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domtar,United States of America,USA,Paper,No,small,US2575592033,B1T84Z4,01/02/2018,14/02/2018,Paris Pledges,2016,"Carbon intensity (tonnes of CO2 per tonne of pulp, paper and paperboard)",,,0.591,0.559,0.526,0.519,0.512,0.504,0.497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duke Energy,United States of America,USA,Electricity Utilities,Yes,large,US26441C2044,B7VD3F2,01/10/2020,12/08/2020,Below 2 Degrees,2019,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),TPI has not made any further assumptions in order to project this company’s Carbon Performance.,0.476,0.476,0.454,0.44,0.435,0.426,0.39,0.383,0.375,0.368,0.36,0.353,0.345,0.338,0.33,0.323,0.315,0.308,0.293,0.277,0.262,0.246,0.231,0.216,0.2,0.185,0.169,0.154,0.139,0.123,0.108,0.092,0.077,0.062,0.046,0.031,0.015,
Duke Energy,United States of America,USA,Electricity Utilities,Yes,large,US26441C2044,B7VD3F2,01/09/2019,12/07/2019,Paris Pledges,2018,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),TPI has not made any further assumptions in order to project this company’s Carbon Performance.,0.476,0.476,0.454,0.44,0.435,0.426,0.418,0.409,0.4,0.392,0.383,0.374,0.365,0.357,0.348,0.339,0.331,0.322,,,,,,,,,,,,,,,,,,,,
Duke Energy,United States of America,USA,Electricity Utilities,Yes,large,US26441C2044,B7VD3F2,01/07/2018,02/07/2018,Paris Pledges,2017,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),Duke Energy has set a target to reduce its emissions intensity. TPI has not adjusted this target.,,,0.454,0.44,0.435,0.427,0.418,0.409,0.401,0.392,0.383,0.374,0.366,0.357,0.348,0.339,0.331,0.322,,,,,,,,,,,,,,,,,,,,
E.ON,Germany,DEU,Electricity Utilities,Yes,large,DE000ENAG999,4942904,01/10/2020,12/08/2020,Below 2 Degrees,2019,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"The company discloses an emissions intensity and target using an activity measure and/or emissions figure that is inconsistent with TPI’s methodology for this sector. The carbon intensity has been recalculated according to TPI methodology.  The company has set targets to reduce its absolute emissions. To calculate this company’s targeted emissions intensity, TPI has assumed that: - The company’s regional electricity generation grows according to the regional electricity generation growth rate projected in the IEA’s Energy Technology Perspectives model ‘Reference Technology’ scenario.",0.45,0.43,0.409,0.045,0.051,0.052,0.075,0.071,0.068,0.064,0.061,0.057,0.054,0.05,0.046,0.043,0.039,0.036,0.032,0.029,0.025,0.021,0.018,0.014,0.011,0.007,0.004,0.0,,,,,,,,,,
E.ON,Germany,DEU,Electricity Utilities,Yes,large,DE000ENAG999,4942904,01/09/2019,12/07/2019,Below 2 Degrees,2018,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"The company discloses an emissions intensity and target using an activity measure and/or emissions figure that is inconsistent with TPI’s methodology for this sector. The carbon intensity has been recalculated according to TPI methodology.  The company has set targets to reduce its absolute emissions. To calculate this company’s targeted emissions intensity, TPI has assumed that: - The company’s regional electricity generation grows according to the regional electricity generation growth rate projected in the IEA’s Energy Technology Perspectives model ‘Reference Technology’ scenario.",0.45,0.43,0.409,0.045,0.051,0.052,0.05,0.049,0.047,0.045,0.043,0.042,0.04,0.038,0.037,0.035,0.033,0.031,,,,,,,,,,,,,,,,,,,,
E.ON,Germany,DEU,Electricity Utilities,Yes,large,DE000ENAG999,4942904,01/07/2018,02/07/2018,Below 2 Degrees,2017,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"E.ON has set a target to reduce its absolute emissions.TPI has adjusted this target by assuming that future electricity generation grows at the same rate as the IEA's ""Gross electricity generation"" projections for the region in which the company operates using the ETP (2017) Reference Technology Scenario. TPI also assumes that: 
● Emissions from electricity production will reduce in-line with a broader emissions target",0.45,0.43,0.4,0.041,0.044,0.043,0.042,0.041,0.04,0.039,0.039,0.038,0.037,0.036,0.035,0.034,0.033,0.032,,,,,,,,,,,,,,,,,,,,
EDF,France,FRA,Electricity Utilities,Yes,large,FR0010242511,B0NJJ17,01/10/2020,12/08/2020,Paris Pledges,2019,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),TPI has not made any further assumptions in order to project this company's Carbon Performance.,0.123,0.102,0.095,0.077,0.082,0.057,0.055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDF,France,FRA,Electricity Utilities,Yes,large,FR0010242511,B0NJJ17,01/09/2019,12/07/2019,Below 2 Degrees,2018,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),TPI has not made any further assumptions in order to project this company’s Carbon Performance.,0.123,0.102,0.095,0.077,0.082,0.057,0.056,0.054,0.053,0.051,0.05,0.049,0.047,0.046,0.044,0.043,0.041,0.04,,,,,,,,,,,,,,,,,,,,
EDF,France,FRA,Electricity Utilities,Yes,large,FR0010242511,B0NJJ17,01/07/2018,02/07/2018,Below 2 Degrees,2017,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"EDF has set a target to reduce its emissions intensity. TPI has adjusted this target by assuming that: 
● Emissions revelent to the TPI that are not covered by the target are assumed to be unchanged from the target base year in absolute or intensity terms",0.123,0.102,0.095,0.077,0.082,0.082,0.081,0.081,0.08,0.08,0.079,0.079,0.079,0.078,0.078,0.077,0.077,0.076,,,,,,,,,,,,,,,,,,,,
EDP,Portugal,PRT,Electricity Utilities,No,large,PTEDP0AM0009,4103596,01/10/2020,12/08/2020,Below 2 Degrees,2019,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),TPI has not made any further assumptions in order to project this company’s Carbon Performance.,0.282,0.276,0.34,0.272,0.333,0.257,0.217,0.203,0.189,0.175,0.161,0.147,0.133,0.119,0.105,0.091,0.077,0.063,0.06,0.057,0.053,0.05,0.047,0.044,0.041,0.038,0.035,0.031,0.028,0.025,0.022,0.019,0.016,0.013,0.009,0.006,0.003,
EOG Resources,United States of America,USA,Oil & Gas,No,large,US26875P1012,2318024,01/10/2020,12/08/2020,Not Aligned,2018,Emissions intensity (gCO2e / MJ),"The company has not disclosed an emissions intensity that TPI can use to assess current and/or future Carbon Performance. The carbon intensity has been (re-)calculated according to TPI methodology. The company has not disclosed sufficient data on any quantitative targets to reduce its emissions, which TPI can use to estimate future Carbon Performance.",,71.36,70.33,70.37,70.71,70.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EOG Resources,United States of America,USA,Oil & Gas,No,large,US26875P1012,2318024,01/09/2019,02/08/2019,Not Aligned,2017,Emissions intensity (gCO2e / MJ),"The company has not disclosed an emissions intensity that TPI can use to assess current and/or future Carbon Performance. The carbon intensity has been (re-)calculated according to TPI methodology. The company has not disclosed sufficient data on any quantitative targets to reduce its emissions, which TPI can use to estimate future Carbon Performance.",,71.278,70.25,70.296,70.655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eagle Materials,United States of America,USA,Cement,No,small,US26969P1084,2191399,01/02/2021,23/12/2020,No or unsuitable disclosure,,Carbon intensity (tonnes of CO2 per tonne of cementitious product),"The company has not disclosed sufficient current emissions data nor any quantitative targets to reduce its emissions, which TPI can use to estimate future carbon performance.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eagle Materials,United States of America,USA,Cement,No,small,US26969P1084,2191399,01/02/2020,20/12/2019,No or unsuitable disclosure,,Carbon intensity (tonnes of CO2 per tonne of cementitious product),"Eagle Materials has not disclosed quantitative targets to reduce its emissions, which TPI can use to estimate future carbon performance.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eagle Materials,United States of America,USA,Cement,No,small,US26969P1084,2191399,01/09/2018,18/09/2018,No or unsuitable disclosure,,Carbon intensity (tonnes of CO2 per tonne of cementitious product),"Eagle Materials has not disclosed quantitative targets to reduce its emissions, which TPI can use to estimate future carbon performance.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Easyjet,United Kingdom,GBR,Airlines,No,medium,GB00B7KR2P84,B7KR2P8,01/12/2020,23/10/2020,Not Aligned,2019,Carbon intensity (gCO2 / RTK),The company discloses an emissions intensity and target using an activity measure and/or emissions figure that is inconsistent with TPI’s methodology for this sector. The carbon intensity has been recalculated according to TPI methodology.,,863.0,853.0,841.0,828.0,826.0,811.0,793.0,775.0,757.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Easyjet,United Kingdom,GBR,Airlines,No,medium,GB00B7KR2P84,B7KR2P8,01/12/2019,07/11/2019,International Pledges,2018,Carbon intensity (gCO2 / RTK),"The company discloses an emissions intensity and target using an activity measure and/or emissions figure that is inconsistent with TPI’s methodology for this sector. The carbon intensity has been recalculated according to TPI methodology. Based on information disclosed, TPI assumes that the company's freight operations are negligible.",,547.0,540.0,533.0,524.0,523.0,512.0,501.0,491.0,480.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Easyjet,United Kingdom,GBR,Airlines,No,medium,GB00B7KR2P84,B7KR2P8,01/02/2019,04/01/2019,2 Degrees (Shift-Improve),2017,Carbon intensity (gCO2 / RTK),TPI has not made any further assumptions in order to project this company’s Carbon Performance.,,82.0,81.0,80.0,79.0,77.0,76.0,75.0,73.0,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecopetrol,Colombia,COL,Oil & Gas,Yes,large,COC04PA00016,B2473N4,01/10/2020,12/08/2020,Not Aligned,2019,Emissions intensity (gCO2e / MJ),"The company has not disclosed an emissions intensity that TPI can use to assess current and/or future Carbon Performance. The carbon intensity has been (re-)calculated according to TPI methodology. The company has set targets to reduce its absolute emissions. To calculate this company’s targeted emissions intensity, TPI has assumed that: The company’s externally sold energy products grow according to the regional or global primary energy supply growth rate projected in the IEA’s Energy Technology Perspectives model ‘Reference Technology’ scenario. The company’s target covers a subset of Scope 1, 2 and 3 (use of sold products) emissions. The emissions intensities of all emissions not covered by the target are assumed to remain constant from the level of the latest disclosure.",,75.36,75.68,76.85,78.24,78.46,77.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecopetrol,Colombia,COL,Oil & Gas,Yes,large,COC04PA00016,B2473N4,01/09/2019,12/07/2019,Not Aligned,2017,Emissions intensity (gCO2e / MJ),"The company has not disclosed an emissions intensity that TPI can use to assess current and/or future Carbon Performance. The carbon intensity has been (re-)calculated according to TPI methodology. The company has set targets to reduce its absolute emissions. To calculate this company’s targeted emissions intensity, TPI has assumed that: The company’s externally sold energy products grow according to the regional or global primary energy supply growth rate projected in the IEA’s Energy Technology Perspectives model ‘Reference Technology’ scenario. The company’s target covers a subset of Scope 1, 2 and 3 (use of sold products) emissions. The emissions intensities of all emissions not covered by the target are assumed to remain constant from the level of the latest disclosure.",,,76.363,77.73,78.998,78.861,78.724,78.587,78.45,78.313,78.176,78.038,77.901,77.764,77.627,77.49,77.353,77.216,,,,,,,,,,,,,,,,,,,,
